B1,B2,B3,B4,B5,B6,I,T,VT,TIME,PB1,PB2,PB3,PB4,PB5,PB6,PVT
3.94,3.92,3.88,3.95,3.81,3.94,-363.83,23.0,23.43,2024-01-01 00:00:00,-1.4334902,-1.4262135999999999,-1.4116604,-1.4371285,-1.3861922999999998,-1.4334902,-8.5245369
4.01,3.97,3.98,3.95,3.78,4.05,-23.79,23.0,23.74,2024-01-01 00:00:02,-0.0953979,-0.09444630000000001,-0.0946842,-0.0939705,-0.0899262,-0.09634949999999999,-0.5647746
4.01,3.97,3.94,3.94,3.88,3.96,-43.17,23.0,23.7,2024-01-01 00:00:03,-0.17311169999999998,-0.1713849,-0.17008979999999999,-0.17008979999999999,-0.16749960000000003,-0.1709532,-1.023129
4.04,3.98,3.95,3.97,3.85,3.97,-23.92,23.0,23.76,2024-01-01 00:00:05,-0.09663680000000001,-0.09520160000000001,-0.09448400000000001,-0.09496240000000002,-0.09209200000000001,-0.09496240000000002,-0.5683392000000002
4.03,3.97,3.97,3.97,3.84,3.94,-23.79,23.0,23.71,2024-01-01 00:00:06,-0.0958737,-0.09444630000000001,-0.09444630000000001,-0.09444630000000001,-0.09135360000000001,-0.09373259999999999,-0.5640609
4.03,3.95,3.94,3.93,3.87,3.97,-43.17,23.0,23.69,2024-01-01 00:00:08,-0.17397510000000002,-0.1705215,-0.17008979999999999,-0.1696581,-0.16706790000000002,-0.1713849,-1.0226973000000001
4.04,3.97,3.92,4.0,3.88,3.88,-23.75,23.0,23.69,2024-01-01 00:00:09,-0.09595000000000001,-0.09428750000000001,-0.09309999999999999,-0.095,-0.09215,-0.09215,-0.5626375
4.04,3.97,3.95,3.94,3.91,3.93,-23.83,23.0,23.76,2024-01-01 00:00:11,-0.09627319999999999,-0.0946051,-0.0941285,-0.0938902,-0.09317529999999999,-0.0936519,-0.5662008
4.02,3.98,3.91,3.93,3.92,3.93,-23.79,23.0,23.69,2024-01-01 00:00:12,-0.09563579999999999,-0.0946842,-0.0930189,-0.0934947,-0.0932568,-0.0934947,-0.5635851000000001
4.04,3.97,3.92,3.96,3.9,3.93,-23.92,23.0,23.73,2024-01-01 00:00:14,-0.09663680000000001,-0.09496240000000002,-0.0937664,-0.09472320000000001,-0.09328800000000001,-0.09400560000000001,-0.5676216000000001
4.04,3.97,3.97,3.92,3.94,3.96,-23.92,23.0,23.8,2024-01-01 00:00:15,-0.09663680000000001,-0.09496240000000002,-0.09496240000000002,-0.0937664,-0.09424480000000002,-0.09472320000000001,-0.569296
4.03,3.95,3.9,4.06,3.88,3.94,-23.79,23.0,23.76,2024-01-01 00:00:17,-0.0958737,-0.0939705,-0.09278099999999999,-0.09658739999999999,-0.0923052,-0.09373259999999999,-0.5652504
4.04,3.98,3.96,3.96,3.87,3.95,-23.79,23.0,23.76,2024-01-01 00:00:18,-0.09611159999999999,-0.0946842,-0.0942084,-0.0942084,-0.0920673,-0.0939705,-0.5652504
4.03,3.97,3.95,3.99,3.85,3.97,-43.12,23.0,23.77,2024-01-01 00:00:20,-0.1737736,-0.1711864,-0.17032399999999998,-0.1720488,-0.166012,-0.1711864,-1.0249624
4.01,4.0,3.96,3.94,3.86,3.92,-23.71,23.0,23.69,2024-01-01 00:00:21,-0.0950771,-0.09484000000000001,-0.09389159999999999,-0.0934174,-0.09152060000000001,-0.0929432,-0.5616899000000001
4.03,3.97,3.96,3.94,3.87,4.02,-23.83,23.0,23.79,2024-01-01 00:00:23,-0.09603489999999999,-0.0946051,-0.0943668,-0.0938902,-0.0922221,-0.09579659999999998,-0.5669156999999999
4.02,3.97,3.95,3.89,3.88,4.02,-43.17,23.0,23.73,2024-01-01 00:00:24,-0.1735434,-0.1713849,-0.1705215,-0.16793130000000003,-0.16749960000000003,-0.1735434,-1.0244241
4.01,3.97,3.96,3.96,3.84,3.99,-23.92,23.0,23.73,2024-01-01 00:00:26,-0.09591920000000001,-0.09496240000000002,-0.09472320000000001,-0.09472320000000001,-0.0918528,-0.0954408,-0.5676216000000001
4.01,3.98,3.92,3.98,3.91,3.95,-23.92,23.0,23.74,2024-01-01 00:00:27,-0.09591920000000001,-0.09520160000000001,-0.0937664,-0.09520160000000001,-0.0935272,-0.09448400000000001,-0.5678608
4.0,3.95,3.91,3.92,3.94,3.98,-43.12,23.0,23.69,2024-01-01 00:00:29,-0.17248,-0.17032399999999998,-0.1685992,-0.1690304,-0.16989279999999998,-0.17161759999999998,-1.0215128
3.92,3.9,3.93,3.91,3.87,3.83,-358.83,23.0,23.35,2024-01-01 00:00:30,-1.4066135999999998,-1.3994369999999998,-1.4102019000000001,-1.4030253,-1.3886721,-1.3743189,-8.3786805
3.94,3.92,3.93,3.9,3.89,3.83,-359.67,23.0,23.39,2024-01-01 00:00:32,-1.4170998,-1.4099064000000001,-1.4135031000000002,-1.4027129999999999,-1.3991163000000002,-1.3775361,-8.412681300000001
3.93,3.93,3.9,3.9,3.82,3.82,-378.71,23.0,23.28,2024-01-01 00:00:33,-1.4883303,-1.4883303,-1.4769689999999998,-1.4769689999999998,-1.4466721999999999,-1.4466721999999999,-8.8163688
3.94,3.91,3.93,3.76,4.03,3.86,-360.46,23.0,23.43,2024-01-01 00:00:35,-1.4202123999999998,-1.4093986,-1.4166078,-1.3553295999999997,-1.4526538,-1.3913756,-8.445577799999999
3.97,3.93,3.92,3.98,3.78,3.86,-360.83,23.0,23.43,2024-01-01 00:00:36,-1.4324951000000001,-1.4180618999999999,-1.4144535999999999,-1.4361034,-1.3639373999999997,-1.3928037999999998,-8.4542469
3.97,3.93,3.92,3.91,3.76,3.88,-361.12,23.0,23.36,2024-01-01 00:00:38,-1.4336464,-1.4192016,-1.4155904000000001,-1.4119792,-1.3578111999999998,-1.4011456,-8.4357632
3.98,3.89,3.94,3.92,3.83,3.85,-361.33,23.0,23.42,2024-01-01 00:00:39,-1.4380934,-1.4055737,-1.4236402,-1.4164135999999998,-1.3838939000000001,-1.3911205,-8.462348599999999
3.98,3.92,3.93,3.9,3.86,3.84,-361.42,23.0,23.42,2024-01-01 00:00:41,-1.4384516,-1.4167664,-1.4203806,-1.409538,-1.3950812000000001,-1.3878528,-8.464456400000001
3.95,3.91,3.9,3.92,3.86,3.83,-361.71,23.0,23.37,2024-01-01 00:00:42,-1.4287545,-1.4142861,-1.410669,-1.4179032,-1.3962005999999998,-1.3853493,-8.4531627
3.96,3.91,3.87,3.93,3.88,3.86,-361.92,23.0,23.42,2024-01-01 00:00:44,-1.4332032000000001,-1.4151072000000002,-1.4006304,-1.4223456,-1.4042496000000002,-1.3970112,-8.476166400000002
3.96,3.92,3.93,3.87,3.89,3.86,-362.08,23.0,23.43,2024-01-01 00:00:45,-1.4338368,-1.4193536,-1.4229744,-1.4012495999999999,-1.4084911999999998,-1.3976288,-8.483534399999998
3.95,3.94,3.9,3.85,3.93,3.85,-362.29,23.0,23.41,2024-01-01 00:00:47,-1.4310455000000002,-1.4274226,-1.412931,-1.3948165000000001,-1.4237997,-1.3948165000000001,-8.4812089
3.95,3.92,3.93,3.89,3.8,3.86,-362.5,23.0,23.35,2024-01-01 00:00:48,-1.431875,-1.421,-1.424625,-1.410125,-1.3775,-1.39925,-8.464375
3.95,3.93,3.9,3.91,3.74,3.91,-381.25,23.0,23.34,2024-01-01 00:00:50,-1.5059375,-1.4983125,-1.486875,-1.4906875,-1.425875,-1.4906875,-8.898375
3.96,3.91,3.92,3.86,3.87,3.91,-362.75,23.0,23.43,2024-01-01 00:00:51,-1.43649,-1.4183525,-1.42198,-1.400215,-1.4038424999999999,-1.4183525,-8.4992325
3.95,3.91,3.92,3.86,3.81,3.93,-362.92,23.0,23.38,2024-01-01 00:00:53,-1.433534,-1.4190172,-1.4226464,-1.4008712,-1.3827252,-1.4262756,-8.485069600000001
3.95,3.91,3.9,3.89,3.8,3.85,-381.75,23.0,23.31,2024-01-01 00:00:54,-1.5079125000000002,-1.4926425,-1.488825,-1.4850075,-1.4506499999999998,-1.4697375,-8.8985925
3.95,3.91,3.94,3.88,3.81,3.89,-363.29,23.0,23.38,2024-01-01 00:00:56,-1.4349955000000003,-1.4204639000000001,-1.4313626000000002,-1.4095652,-1.3841349,-1.4131981,-8.4937202
3.95,3.91,3.95,3.89,3.87,3.77,-363.42,23.0,23.34,2024-01-01 00:00:57,-1.435509,-1.4209722000000002,-1.435509,-1.4137038,-1.4064354000000001,-1.3700934,-8.482222799999999
3.95,3.91,3.89,3.88,3.84,3.82,-382.08,23.0,23.28,2024-01-01 00:00:59,-1.509216,-1.4939328,-1.4862912,-1.4824704,-1.4671872,-1.4595456,-8.8948224
3.96,3.92,3.91,3.87,3.85,3.9,-363.71,23.0,23.41,2024-01-01 00:01:00,-1.4402916000000001,-1.4257431999999999,-1.4221061,-1.4075577000000001,-1.4002835,-1.4184689999999998,-8.5144511
3.96,3.92,3.9,3.94,3.83,3.88,-363.75,23.0,23.42,2024-01-01 00:01:02,-1.44045,-1.4259,-1.418625,-1.4331749999999999,-1.3931625,-1.4113499999999999,-8.519025000000001
3.95,3.9,3.87,3.91,3.82,3.85,-383.17,23.0,23.3,2024-01-01 00:01:03,-1.5135215,-1.494363,-1.4828679000000002,-1.4981947,-1.4637094,-1.4752045,-8.927861
3.96,3.9,3.93,3.89,3.88,3.84,-364.0,23.0,23.39,2024-01-01 00:01:05,-1.44144,-1.4196,-1.43052,-1.41596,-1.41232,-1.39776,-8.51396
3.95,3.93,3.91,3.89,3.85,3.82,-364.12,23.0,23.34,2024-01-01 00:01:06,-1.438274,-1.4309916,-1.4237092,-1.4164268,-1.4018620000000002,-1.3909384,-8.4985608
3.95,3.87,3.86,3.92,3.92,3.84,-364.33,23.0,23.35,2024-01-01 00:01:08,-1.4391034999999999,-1.4099571000000002,-1.4063138,-1.4281735999999998,-1.4281735999999998,-1.3990272,-8.5071055
3.94,3.9,3.91,3.92,3.84,3.79,-364.37,23.0,23.29,2024-01-01 00:01:09,-1.4356178,-1.4210429999999998,-1.4246867,-1.4283304000000001,-1.3991808,-1.3809623000000002,-8.4861773
3.94,3.91,3.9,3.9,3.8,3.93,-364.46,23.0,23.38,2024-01-01 00:01:11,-1.4359723999999998,-1.4250386,-1.4213939999999998,-1.4213939999999998,-1.3849479999999998,-1.4323278,-8.5210748
3.9,3.92,3.93,3.87,3.86,3.81,-364.67,23.0,23.27,2024-01-01 00:01:12,-1.422213,-1.4295064,-1.4331531000000002,-1.4112729000000002,-1.4076262,-1.3893927000000001,-8.4858709
3.93,3.92,3.86,3.9,3.87,3.8,-364.79,23.0,23.28,2024-01-01 00:01:14,-1.4336247,-1.4299768000000002,-1.4080894000000002,-1.422681,-1.4117373,-1.386202,-8.4923112
3.93,3.84,3.98,3.9,3.85,3.77,-383.5,23.0,23.26,2024-01-01 00:01:15,-1.507155,-1.47264,-1.52633,-1.49565,-1.4764750000000002,-1.4457950000000002,-8.92021
3.95,3.91,3.92,3.87,3.86,3.84,-364.96,23.0,23.34,2024-01-01 00:01:17,-1.4415919999999998,-1.4269936,-1.4306432,-1.4123952,-1.4087456,-1.4014463999999998,-8.5181664
3.95,3.9,3.96,3.84,3.92,3.62,-365.04,23.0,23.2,2024-01-01 00:01:18,-1.4419080000000002,-1.423656,-1.4455584000000001,-1.4017536,-1.4309568000000001,-1.3214448000000003,-8.468928
3.97,3.9,3.93,3.8,3.87,3.88,-383.75,23.0,23.35,2024-01-01 00:01:20,-1.5234875,-1.496625,-1.5081375000000001,-1.45825,-1.4851125,-1.48895,-8.9605625
3.96,3.91,3.9,3.92,3.8,3.88,-365.29,23.0,23.37,2024-01-01 00:01:21,-1.4465484000000002,-1.4282839,-1.424631,-1.4319368,-1.3881020000000002,-1.4173252,-8.5368273
3.96,3.9,3.91,3.92,3.78,3.88,-365.42,23.0,23.35,2024-01-01 00:01:23,-1.4470632,-1.425138,-1.4287922000000002,-1.4324464000000001,-1.3812875999999998,-1.4178296000000001,-8.532557
3.94,3.91,3.89,3.85,3.82,3.93,-384.04,23.0,23.33,2024-01-01 00:01:24,-1.5131176,-1.5015964000000002,-1.4939156,-1.4785540000000001,-1.4670328,-1.5092772000000003,-8.9596532
3.95,3.91,3.9,3.9,3.85,3.83,-365.67,23.0,23.32,2024-01-01 00:01:26,-1.4443965,-1.4297697,-1.426113,-1.426113,-1.4078295,-1.4005161000000002,-8.5274244
3.95,3.91,3.92,3.87,3.79,3.9,-365.67,23.0,23.35,2024-01-01 00:01:27,-1.4443965,-1.4297697,-1.4334264,-1.4151429,-1.3858893,-1.426113,-8.5383945
3.94,3.89,3.91,3.82,3.87,3.83,-384.58,23.0,23.25,2024-01-01 00:01:29,-1.5152451999999998,-1.4960162000000001,-1.5037078,-1.4690956,-1.4883245999999999,-1.4729413999999998,-8.941484999999998
3.95,3.92,3.91,3.85,3.92,3.8,-366.0,23.0,23.33,2024-01-01 00:01:30,-1.4457,-1.43472,-1.43106,-1.4091000000000002,-1.43472,-1.3908,-8.53878
3.94,3.91,3.89,3.86,3.86,3.68,-365.92,23.0,23.14,2024-01-01 00:01:32,-1.4417248,-1.4307472,-1.4234288000000002,-1.4124512,-1.4124512,-1.3465856,-8.4673888
3.92,3.87,3.89,3.89,3.84,3.9,-366.08,23.0,23.29,2024-01-01 00:01:33,-1.4350336,-1.4167295999999998,-1.4240511999999999,-1.4240511999999999,-1.4057471999999998,-1.427712,-8.5260032
3.93,3.91,3.9,3.89,3.83,3.83,-366.21,23.0,23.28,2024-01-01 00:01:35,-1.4392053,-1.4318811,-1.428219,-1.4245569,-1.4025843,-1.4025843,-8.5253688
3.91,3.89,3.94,3.86,3.78,3.91,-366.29,23.0,23.29,2024-01-01 00:01:36,-1.4321939000000001,-1.4248681,-1.4431826,-1.4138794000000001,-1.3845762,-1.4321939000000001,-8.5308941
