VF,IF,VB,IB,VC,IC,TIME,PVF,PVB,PVC
24.78,55.2,24.76,-6.4,24.76,52.4,2024-01-01 00:01:47,1.3678560000000002,-0.15846400000000002,1.297424
24.78,56.0,24.77,-6.8,24.76,52.8,2024-01-01 00:01:47,1.38768,-0.16843599999999997,1.307328
24.78,55.6,24.76,-6.8,24.76,52.8,2024-01-01 00:01:48,1.377768,-0.168368,1.307328
24.78,56.0,24.77,-7.2,24.77,52.8,2024-01-01 00:01:48,1.38768,-0.178344,1.307856
24.78,58.4,24.77,-9.6,24.77,52.8,2024-01-01 00:01:49,1.447152,-0.23779199999999998,1.307856
24.78,56.4,24.78,-7.2,24.77,52.8,2024-01-01 00:01:49,1.3975920000000002,-0.17841600000000002,1.307856
24.78,56.4,24.77,-7.2,24.77,53.2,2024-01-01 00:01:50,1.3975920000000002,-0.178344,1.3177640000000002
24.78,56.4,24.77,-7.2,24.77,53.2,2024-01-01 00:01:51,1.3975920000000002,-0.178344,1.3177640000000002
24.78,56.8,24.77,-7.2,24.77,53.2,2024-01-01 00:01:51,1.4075039999999999,-0.178344,1.3177640000000002
24.78,58.4,24.77,-8.8,24.77,53.2,2024-01-01 00:01:52,1.447152,-0.21797600000000003,1.3177640000000002
24.78,59.6,24.76,-10.0,24.77,53.2,2024-01-01 00:01:52,1.4768880000000002,-0.24760000000000001,1.3177640000000002
24.78,57.2,24.77,-7.6,24.77,53.2,2024-01-01 00:01:53,1.4174160000000002,-0.18825199999999997,1.3177640000000002
24.78,56.8,24.77,-7.6,24.77,53.2,2024-01-01 00:01:54,1.4075039999999999,-0.18825199999999997,1.3177640000000002
24.78,56.8,24.77,-7.2,24.77,53.2,2024-01-01 00:01:54,1.4075039999999999,-0.178344,1.3177640000000002
24.78,56.8,24.78,-7.6,24.77,53.2,2024-01-01 00:01:55,1.4075039999999999,-0.188328,1.3177640000000002
24.78,57.2,24.78,-8.0,24.77,53.2,2024-01-01 00:01:55,1.4174160000000002,-0.19824,1.3177640000000002
24.78,57.2,24.78,-7.6,24.77,53.2,2024-01-01 00:01:56,1.4174160000000002,-0.188328,1.3177640000000002
24.78,58.4,24.77,-9.2,24.77,53.2,2024-01-01 00:01:56,1.447152,-0.22788399999999998,1.3177640000000002
